,Entity,Code,Year,Working hours (hours per person engaged),GDP per capita (int.-$) (constant 2011 international $),Unnamed: 5
27241,Mexico,MEX,2011.0,2248.0,16049.36424,115695000.0
27242,Mexico,MEX,2012.0,2239.0,16394.63067,117274000.0
27243,Mexico,MEX,2013.0,2244.0,16385.05961,118827000.0
27244,Mexico,MEX,2014.0,2242.0,16622.59705,120355000.0
27245,Mexico,MEX,2015.0,2248.0,16938.60541,121858000.0
27246,Mexico,MEX,2016.0,2255.0,17206.634319999997,123333000.0
27247,Mexico,MEX,2017.0,2255.0,17336.46907,124777000.0
27248,Mexico,MEX,2018.0,0.0,0.0,126191000.0
27249,Mexico,MEX,2019.0,0.0,0.0,127576000.0
30952,Nigeria,NGA,1950.0,0.0,0.0,37860000.0
30953,Nigeria,NGA,1951.0,0.0,0.0,38424000.0
30954,Nigeria,NGA,1952.0,0.0,0.0,39035000.0
30955,Nigeria,NGA,1953.0,0.0,0.0,39686000.0
30956,Nigeria,NGA,1954.0,0.0,0.0,40371000.0
30957,Nigeria,NGA,1955.0,0.0,0.0,41086000.0
30958,Nigeria,NGA,1956.0,0.0,0.0,41831000.0
30959,Nigeria,NGA,1957.0,0.0,0.0,42605000.0
30960,Nigeria,NGA,1958.0,0.0,0.0,43412000.0
30961,Nigeria,NGA,1959.0,0.0,0.0,44255000.0
30962,Nigeria,NGA,1960.0,0.0,0.0,45138000.0
30963,Nigeria,NGA,1961.0,0.0,0.0,46064000.0
30964,Nigeria,NGA,1962.0,0.0,0.0,47030000.0
30965,Nigeria,NGA,1963.0,0.0,0.0,48033000.0
30966,Nigeria,NGA,1964.0,0.0,0.0,49067000.0
30967,Nigeria,NGA,1965.0,0.0,0.0,50128000.0
30968,Nigeria,NGA,1966.0,0.0,0.0,51218000.0
30969,Nigeria,NGA,1967.0,0.0,0.0,52342000.0
30970,Nigeria,NGA,1968.0,0.0,0.0,53506000.0
30971,Nigeria,NGA,1969.0,0.0,0.0,54717000.0
30972,Nigeria,NGA,1970.0,0.0,0.0,55982000.0
30973,Nigeria,NGA,1971.0,0.0,0.0,57297000.0
30974,Nigeria,NGA,1972.0,0.0,0.0,58666000.0
30975,Nigeria,NGA,1973.0,0.0,0.0,60115000.0
30976,Nigeria,NGA,1974.0,0.0,0.0,61677000.0
30977,Nigeria,NGA,1975.0,0.0,0.0,63374000.0
30978,Nigeria,NGA,1976.0,0.0,0.0,65221000.0
30979,Nigeria,NGA,1977.0,0.0,0.0,67203000.0
30980,Nigeria,NGA,1978.0,0.0,0.0,69272000.0
30981,Nigeria,NGA,1979.0,0.0,0.0,71361000.0
30982,Nigeria,NGA,1980.0,0.0,0.0,73424000.0
30983,Nigeria,NGA,1981.0,0.0,0.0,75441000.0
30984,Nigeria,NGA,1982.0,0.0,0.0,77428000.0
30985,Nigeria,NGA,1983.0,0.0,0.0,79415000.0
30986,Nigeria,NGA,1984.0,0.0,0.0,81449000.0
30987,Nigeria,NGA,1985.0,0.0,0.0,83563000.0
30988,Nigeria,NGA,1986.0,0.0,0.0,85766000.0
30989,Nigeria,NGA,1987.0,0.0,0.0,88048000.0
30990,Nigeria,NGA,1988.0,0.0,0.0,90395000.0
30991,Nigeria,NGA,1989.0,0.0,0.0,92788000.0
30992,Nigeria,NGA,1990.0,0.0,3041.509363,95212000.0
30993,Nigeria,NGA,1991.0,0.0,2946.741877,97668000.0
30994,Nigeria,NGA,1992.0,0.0,2885.838707,100162000.0
30995,Nigeria,NGA,1993.0,0.0,2873.33723,102701000.0
30996,Nigeria,NGA,1994.0,0.0,2828.087519,105294000.0
30997,Nigeria,NGA,1995.0,0.0,2750.071529,107948000.0
30998,Nigeria,NGA,1996.0,0.0,2816.43946,110669000.0
30999,Nigeria,NGA,1997.0,0.0,2824.2102600000003,113458000.0
31000,Nigeria,NGA,1998.0,0.0,2829.544477,116320000.0
31001,Nigeria,NGA,1999.0,0.0,2772.886325,119260000.0
31002,Nigeria,NGA,2000.0,0.0,2848.15052,122284000.0
31003,Nigeria,NGA,2001.0,0.0,2900.036061,125394000.0
31004,Nigeria,NGA,2002.0,0.0,2934.8606800000002,128596000.0
31005,Nigeria,NGA,2003.0,0.0,3157.6132780000003,131901000.0
31006,Nigeria,NGA,2004.0,0.0,4116.156736999999,135320000.0
31007,Nigeria,NGA,2005.0,0.0,4149.277997,138864992.0
31008,Nigeria,NGA,2006.0,0.0,4374.284423,142538000.0
31009,Nigeria,NGA,2007.0,0.0,4551.605434,146340000.0
31010,Nigeria,NGA,2008.0,0.0,4710.55466,150270000.0
31011,Nigeria,NGA,2009.0,0.0,4904.920946,154324992.0
31012,Nigeria,NGA,2010.0,1996.6565,5150.158818,158503008.0
31013,Nigeria,NGA,2011.0,1984.2125,5259.295504,162804992.0
31014,Nigeria,NGA,2012.0,1880.9844,5339.451668,167228992.0
31015,Nigeria,NGA,2013.0,1893.6323,5479.058339,171766000.0
31016,Nigeria,NGA,2014.0,1909.6529999999998,5671.900600999999,176404992.0
31017,Nigeria,NGA,2015.0,1703.4781,5670.639443,181136992.0
31018,Nigeria,NGA,2016.0,1827.2401,5434.734795,185960000.0
31019,Nigeria,NGA,2017.0,1827.2401,5338.454127,190872992.0
31020,Nigeria,NGA,2018.0,0.0,0.0,195875008.0
31021,Nigeria,NGA,2019.0,0.0,0.0,200964000.0
34050,Poland,POL,1950.0,0.0,0.0,24824000.0
34051,Poland,POL,1951.0,0.0,0.0,25283000.0
34052,Poland,POL,1952.0,0.0,0.0,25764000.0
34053,Poland,POL,1953.0,0.0,0.0,26260000.0
34054,Poland,POL,1954.0,0.0,0.0,26764000.0
34055,Poland,POL,1955.0,0.0,0.0,27270000.0
34056,Poland,POL,1956.0,0.0,0.0,27770000.0
34057,Poland,POL,1957.0,0.0,0.0,28260000.0
34058,Poland,POL,1958.0,0.0,0.0,28733000.0
34059,Poland,POL,1959.0,0.0,0.0,29186000.0
34060,Poland,POL,1960.0,0.0,0.0,29614000.0
34061,Poland,POL,1961.0,0.0,0.0,30016000.0
34062,Poland,POL,1962.0,0.0,0.0,30389000.0
34063,Poland,POL,1963.0,0.0,0.0,30736000.0
34064,Poland,POL,1964.0,0.0,0.0,31059000.0
34065,Poland,POL,1965.0,0.0,0.0,31361000.0
34066,Poland,POL,1966.0,0.0,0.0,31641000.0
34067,Poland,POL,1967.0,0.0,0.0,31902000.0
34068,Poland,POL,1968.0,0.0,0.0,32150000.0
34069,Poland,POL,1969.0,0.0,0.0,32393000.0
34070,Poland,POL,1970.0,0.0,0.0,32639000.0
34071,Poland,POL,1971.0,0.0,0.0,32890000.0
34072,Poland,POL,1972.0,0.0,0.0,33147000.0
34073,Poland,POL,1973.0,0.0,0.0,33412000.0
34074,Poland,POL,1974.0,0.0,0.0,33686000.0
34075,Poland,POL,1975.0,0.0,0.0,33971000.0
34076,Poland,POL,1976.0,0.0,0.0,34266000.0
34077,Poland,POL,1977.0,0.0,0.0,34571000.0
34078,Poland,POL,1978.0,0.0,0.0,34886000.0
34079,Poland,POL,1979.0,0.0,0.0,35209000.0
34080,Poland,POL,1980.0,0.0,0.0,35540000.0
34081,Poland,POL,1981.0,0.0,0.0,35878000.0
34082,Poland,POL,1982.0,0.0,0.0,36222000.0
34083,Poland,POL,1983.0,0.0,0.0,36556000.0
34084,Poland,POL,1984.0,0.0,0.0,36864000.0
34085,Poland,POL,1985.0,0.0,0.0,37134000.0
34086,Poland,POL,1986.0,0.0,0.0,37360000.0
34087,Poland,POL,1987.0,0.0,0.0,37544000.0
34088,Poland,POL,1988.0,0.0,0.0,37697000.0
34089,Poland,POL,1989.0,0.0,0.0,37833000.0
34090,Poland,POL,1990.0,0.0,10276.57333,37960000.0
34091,Poland,POL,1991.0,0.0,9521.780497,38083000.0
34092,Poland,POL,1992.0,0.0,9731.361156,38198000.0
34093,Poland,POL,1993.0,2070.8213,10069.49509,38301000.0
